684.25, 758.29, 965.14, 417.73 
676.17, 766.02, 912.36, 431.65 
716.58, 819.76, 951.83, 454.01 
718.86, 822.59, 960.08, 453.87 
717.19, 814.39, 955.35, 450.18 
716.72, 802.27, 985.89, 439.21 
701.62, 799.0, 936.11, 441.78 
672.67, 786.0, 896.73, 441.65 
660.27, 769.52, 852.1, 436.75 
731.66, 825.39, 979.44, 453.07 
649.96, 738.0, 874.97, 419.71 
707.15, 807.76, 960.71, 448.85 
691.05, 781.92, 937.97, 435.28 
637.91, 744.23, 849.29, 427.28 
659.98, 750.37, 890.89, 424.7 
694.21, 777.27, 946.41, 432.78 
682.75, 788.46, 896.13, 445.2 
694.53, 800.93, 920.31, 448.09
700.15, 817.11, 912.65, 456.61 
704.36, 806.61, 929.25, 448.8
699.42, 642.61, 578.4, 378.4 
698.8, 671.67, 605.06, 392.49 
671.22, 657.35, 595.19, 389.88 
791.08, 753.14, 672.69, 417.58 
751.17, 732.72, 654.53, 413.74 
577.54, 623.0, 568.8, 383.33 
760.01, 742.31, 663.46, 415.97 
723.11, 684.72, 614.87, 396.28 
720.81, 704.77, 632.78, 405.91 
760.42, 791.88, 709.48, 441.66 
747.66, 721.77, 645.39, 408.41 
707.32, 661.73, 595.61, 386.88 
708.24, 646.81, 580.17, 377.11 
697.67, 665.97, 600.56, 390.57 
694.98, 636.87, 572.29, 374.26 
690.42, 655.87, 591.17, 386.61 
783.5, 731.81, 651.49, 406.48 
753.95, 728.49, 653.75, 413.93 
765.74, 748.62, 671.47, 421.94 
710.95, 644.05, 578.8, 375.34
3547.74, 3044.95, 2519.51, 1117.71 
3362.5, 2913.05, 2411.05, 1087.08 
1827.34, 2058.79, 1782.37, 930.31 
1258.43, 1554.71, 1357.29, 732.59 
1581.55, 1877.27, 1638.25, 869.27 
2645.93, 2708.19, 2283.91, 1138.17 
1177.9, 1458.79, 1273.43, 682.22 
1773.9, 2040.26, 1753.46, 900.27 
2739.24, 2817.61, 2378.76, 1195.02
2493.55, 2576.87, 2178.21, 1092.63 
2595.27, 2710.83, 2276.63, 1114.19 
1872.01, 2004.61, 1697.38, 853.86 
1874.21, 2007.59, 1700.46, 865.16 
1827.9, 1887.43, 1577.73, 802.13 
3323.69, 2893.24, 2403.32, 1084.90 
2762.89, 2530.05, 2112.7, 997.81 
1373.4, 1667.55, 1451.86, 773.87 
1372.35, 1665.25, 1452.19, 773.33 
1304.46, 1594.71, 1396.88, 746.65 
1525.34, 1791.64, 1553.78, 811.3
